県コード,県名,人口,人口22,面積,世帯数,世帯数22
1,北海道,5381733,5506419,83424.31,2444810,2424317
2,青森県,1308265,1373339,9645.59,510945,513385
3,岩手県,1279594,1330147,15275.01,493049,483934
4,宮城県,2333899,2348165,7282.22,944720,901862
5,秋田県,1023119,1085997,11637.54,388560,390136
6,山形県,1123891,1168924,9323.15,393396,388608
7,福島県,1914039,2029064,13783.74,737598,720794
8,茨城県,2916976,2969770,6097.06,1124349,1088411
9,栃木県,1974255,2007683,6408.09,763097,745604
10,群馬県,1973115,2008068,6362.28,773952,755756
11,埼玉県,7266534,7194556,3797.75,2971659,2841595
12,千葉県,6222666,6216289,5157.65,2609132,2515904
13,東京都,13515271,13159417,2190.93,6701122,6393781
14,神奈川県,9126214,9048302,2415.83,3979278,3844512
15,新潟県,2304264,2374450,12584.1,848150,839039
16,富山県,1066328,1093247,4247.61,391171,383439
17,石川県,1154008,1169788,4186.09,453368,441170
18,福井県,786740,806314,4190.49,279687,275599
19,山梨県,834930,863075,4465.27,330976,327721
20,長野県,2098804,2152449,13561.56,807108,794461
21,岐阜県,2031903,2080773,10621.29,753212,737151
22,静岡県,3700305,3765007,7777.42,1429600,1399140
23,愛知県,7483128,7410719,5172.48,3063833,2933802
24,三重県,1815865,1854724,5774.4,720292,704607
25,滋賀県,1412916,1410777,4017.38,537550,517748
26,京都府,2610353,2636092,4612.19,1152902,1122057
27,大阪府,8839469,8865245,1905.14,3923887,3832386
28,兵庫県,5534800,5588133,8400.96,2315200,2255318
29,奈良県,1364316,1400728,3690.94,530221,523523
30,和歌山県,963579,1002198,4724.69,392332,393553
31,鳥取県,573441,588667,3507.05,216894,211964
32,島根県,694352,717397,6708.24,265008,262219
33,岡山県,1921525,1945276,7114.5,772977,754511
34,広島県,2843990,2860750,8479.45,1211425,1184967
35,山口県,1404729,1451338,6112.3,598834,597432
36,徳島県,755733,785491,4146.65,305754,302294
37,香川県,976263,995842,1876.72,398551,390474
38,愛媛県,1385262,1431493,5676.11,591972,590888
39,高知県,728276,764456,7103.93,319011,321909
40,福岡県,5101556,5071968,4986.4,2201037,2110468
41,佐賀県,832832,849788,2440.68,302109,295038
42,長崎県,1377187,1426779,4132.09,560720,558660
43,熊本県,1786170,1817426,7409.35,704730,688234
44,大分県,1166338,1196529,6340.71,486535,482051
45,宮崎県,1104069,1135233,7735.31,462858,460505
46,鹿児島県,1648177,1706242,9186.94,724690,729386
47,沖縄県,1433566,1392818,2281.12,560424,520191
